disease,symptom,weight,source
abdominal aortic aneurysm,arm swelling,0.7608695652173914,kaggle+symcat
abdominal aortic aneurysm,back pain,0.47101449275362317,kaggle+symcat
abdominal aortic aneurysm,burning abdominal pain,0.7898550724637681,kaggle+symcat
abdominal aortic aneurysm,groin pain,0.07,symcat
abdominal aortic aneurysm,pallor,0.07,symcat
abdominal aortic aneurysm,palpitations,0.7971014492753623,kaggle+symcat
abdominal aortic aneurysm,retention of urine,0.13,symcat
abdominal aortic aneurysm,sharp abdominal pain,0.5652173913043478,kaggle+symcat
abdominal aortic aneurysm,sharp chest pain,0.28,symcat
abdominal aortic aneurysm,shortness of breath,0.7608695652173914,kaggle+symcat
abdominal aortic aneurysm,side pain,0.23,symcat
abdominal aortic aneurysm,swollen abdomen,0.13,symcat
abdominal hernia,ache all over,0.538083538083538,kaggle+symcat
abdominal hernia,groin mass,0.5282555282555282,kaggle+symcat
abdominal hernia,groin pain,0.21,symcat
abdominal hernia,infant spitting up,0.02,symcat
abdominal hernia,irregular belly button,0.5675675675675675,kaggle+symcat
abdominal hernia,lower abdominal pain,0.714987714987715,kaggle+symcat
abdominal hernia,regurgitation,0.5184275184275184,kaggle+symcat
abdominal hernia,regurgitation.1,0.5184275184275184,kaggle
abdominal hernia,sharp abdominal pain,0.65,kaggle+symcat
abdominal hernia,swelling of scrotum,0.02,symcat
abdominal hernia,swollen abdomen,0.5356265356265356,kaggle+symcat
abdominal hernia,symptoms of the scrotum and testes,0.7518427518427518,kaggle+symcat
abdominal hernia,upper abdominal pain,0.5601965601965602,kaggle+symcat
abscess of nose,abnormal breathing sounds,0.2,symcat
abscess of nose,coryza,0.5241379310344828,kaggle+symcat
abscess of nose,cough,0.73,kaggle+symcat
abscess of nose,decreased appetite,0.2,symcat
abscess of nose,ear pain,0.24,symcat
abscess of nose,fever,0.62,kaggle+symcat
abscess of nose,headache,0.24,symcat
abscess of nose,irritable infant,0.7758620689655172,kaggle+symcat
abscess of nose,nasal congestion,0.84,kaggle+symcat
abscess of nose,sinus congestion,0.506896551724138,kaggle+symcat
abscess of nose,sore throat,0.5310344827586206,kaggle+symcat
abscess of nose,vomiting,0.8068965517241379,kaggle+symcat
abscess of the lung,back pain,0.54,symcat
abscess of the lung,cough,0.81,kaggle+symcat
abscess of the lung,depressive or psychotic symptoms,1.0,kaggle+symcat
abscess of the lung,drainage in throat,0.54,symcat
abscess of the lung,excessive growth,0.05,symcat
abscess of the lung,headache,0.54,symcat
abscess of the lung,hemoptysis,0.54,symcat
abscess of the lung,itchy eyelid,0.7894736842105263,kaggle+symcat
abscess of the lung,sharp chest pain,0.72,symcat
abscess of the lung,shortness of breath,0.8947368421052632,kaggle+symcat
abscess of the lung,vomiting,0.54,symcat
abscess of the lung,wrist weakness,0.05,symcat
abscess of the pharynx,allergic reaction,0.27,symcat
abscess of the pharynx,cough,0.51,kaggle+symcat
abscess of the pharynx,coughing up sputum,0.27,symcat
abscess of the pharynx,difficulty in swallowing,0.49853372434017595,kaggle+symcat
abscess of the pharynx,ear pain,0.34,symcat
abscess of the pharynx,feeling ill,0.2,symcat
abscess of the pharynx,fever,0.69,kaggle+symcat
abscess of the pharynx,headache,0.7272727272727273,kaggle+symcat
abscess of the pharynx,nasal congestion,0.58,kaggle+symcat
abscess of the pharynx,sharp chest pain,0.7800586510263929,kaggle+symcat
abscess of the pharynx,sore throat,0.83,kaggle+symcat
abscess of the pharynx,throat swelling,0.6950146627565983,kaggle+symcat
acanthosis nigricans,acne or pimples,0.8333333333333334,kaggle+symcat
acanthosis nigricans,allergic reaction,0.17,symcat
acanthosis nigricans,apnea,0.09,symcat
acanthosis nigricans,fluid retention,0.09,symcat
acanthosis nigricans,infertility,0.17,symcat
acanthosis nigricans,pain or soreness of breast,0.09,symcat
